TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,6,2,3,4,2.550000e+00,1.0,0.0,2.4999026e-06,27.164244,31.16472,31.365677,0.0,33.839123,2.4734457,33.93957,2.4765544,36.417652,999.0,36.417797,37.42423,6.0585523,37.42442,41.426483
2,2,6,2,3,1,1.700000e+00,1.0,1.0,--,--,--,41.618168,--,--,--,--,--,--,--,--,--,--,--,--
3,3,3,1,3,4,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,4,3,1,3,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,4,2,1,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,1,1,1,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,1,1,1,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,4,2,1,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,4,2,1,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,5,2,2,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,1,1,1,2,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,4,2,1,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,6,2,3,4,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,5,2,2,2,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,4,2,1,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,1,1,1,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,4,2,1,1,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,2,1,2,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,1,1,1,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,2,1,2,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,6,2,3,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,4,2,1,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,6,2,3,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,5,2,2,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,6,2,3,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,6,2,3,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,6,2,3,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,3,1,3,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,3,1,3,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,3,1,3,4,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,1,1,1,2,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,4,2,1,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,1,1,1,2,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,3,1,3,1,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,3,1,3,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,4,2,1,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
37,37,6,2,3,4,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
38,38,5,2,2,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
39,39,2,1,2,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40,40,2,1,2,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
41,41,3,1,3,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
42,42,3,1,3,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
43,43,2,1,2,2,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
44,44,1,1,1,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
45,45,1,1,1,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
46,46,3,1,3,1,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,47,6,2,3,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
48,48,1,1,1,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
49,49,1,1,1,2,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
50,50,4,2,1,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
51,51,5,2,2,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,52,3,1,3,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,53,4,2,1,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,54,6,2,3,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,6,2,3,4,2.550000e+00,1.0,0.0,2.300134e-06,58.47047,62.47102,62.671097,2.0,64.12467,1.4535791,64.22511,3.4964209,67.72288,8.0,67.72302,68.73085,6.059753,68.73104,72.73226,--
2,2,6,2,3,1,1.700000e+00,1.0,1.0,--,--,--,72.92588,7.0,74.591385,1.6654986,74.691765,2.4345014,77.12824,3.0,77.128365,78.133995,5.208115,78.13414,79.13622,--
3,3,3,1,3,4,2.550000e+00,1.0,2.0,--,--,--,79.14194,2.0,81.62416,2.482223,81.72452,2.467777,84.19405,7.0,84.194176,85.19911,6.0571713,85.19926,89.20069,--
4,4,3,1,3,2,1.700000e+00,1.0,3.0,--,--,--,89.20236,7.0,91.05802,1.8556647,91.15841,2.2443354,93.40483,1.0,93.40495,94.4104,5.2080407,94.410545,96.41202,--
5,5,4,2,1,2,8.500000e-01,1.0,4.0,--,--,--,96.612076,7.0,98.27453,1.6624508,98.37491,1.5875492,99.96392,9.0,99.96404,100.97112,4.359045,100.97127,102.97303,--
6,6,1,1,1,2,8.500000e-01,1.0,5.0,--,--,--,102.9759,2.0,104.02444,1.0485337,104.124794,2.2014663,106.3278,2.0,106.32791,107.33301,4.357106,107.33315,109.334694,--
7,7,1,1,1,2,1.700000e+00,1.0,6.0,--,--,--,109.33636,7.0,110.37426,1.0378999,110.474625,3.0621002,113.53999,6.0,113.54011,114.545074,5.208714,114.54522,116.547,--
8,8,4,2,1,3,2.550000e+00,1.0,7.0,--,--,--,116.739105,2.0,117.990715,1.251615,118.09108,3.698385,121.79093,2.0,121.79105,122.795845,6.056742,122.79599,125.7974,--
9,9,4,2,1,1,8.500000e-01,1.0,8.0,--,--,--,125.98746,2.0,126.82458,0.8371166,126.92498,2.4128833,129.33957,4.0,129.33969,130.3442,4.3567357,130.34435,131.34843,--
10,10,5,2,2,3,8.500000e-01,1.0,9.0,--,--,--,131.53764,2.0,132.37456,0.836923,132.47498,2.413077,134.89174,5.0,134.89186,135.89807,4.360429,135.89822,138.89972,--
11,11,1,1,1,2,2.550000e+00,1.0,10.0,--,--,--,138.90262,7.0,140.55771,1.6550821,140.65807,3.2949178,143.95496,7.0,143.95508,144.96008,6.05745,144.96022,146.96158,--
12,12,4,2,1,2,1.700000e+00,1.0,11.0,--,--,--,147.15176,7.0,148.60779,1.4560204,148.70816,2.6439798,151.35373,7.0,151.35384,152.35799,5.2062216,152.35814,154.3595,--
13,13,6,2,3,4,8.500000e-01,1.0,12.0,--,--,--,154.54915,7.0,155.89183,1.3426851,155.9922,1.9073149,157.90207,3.0,157.90219,158.90717,4.3580155,158.90732,162.90877,--
14,14,5,2,2,2,2.550000e+00,1.0,13.0,--,--,--,163.1007,7.0,164.24088,1.1401807,164.34131,3.8098192,168.15327,5.0,168.1534,169.15863,6.0579386,169.1588,171.16055,--
15,15,4,2,1,3,2.550000e+00,1.0,14.0,--,--,--,171.35379,7.0,171.87724,0.5234527,171.97763,4.4265475,176.40622,7.0,176.40634,177.41106,6.0572624,177.4112,180.413,--
16,16,1,1,1,3,2.550000e+00,1.0,15.0,--,--,--,180.41574,7.0,181.04045,0.6247153,181.14082,4.3252845,185.46803,6.0,185.46815,186.4717,6.0559564,186.47185,189.47389,--
17,17,4,2,1,1,1.700000e+00,1.0,16.0,--,--,--,189.66562,7.0,190.70766,1.0420337,190.80804,3.0579662,193.8679,8.0,193.86803,194.87213,5.2065167,194.87228,195.87389,--
18,18,2,1,2,3,8.500000e-01,1.0,17.0,--,--,--,195.87682,2.0,196.60773,0.7309071,196.70813,2.5190928,199.23003,5.0,199.23015,200.23601,4.3591895,200.23616,203.23882,--
19,19,1,1,1,3,1.700000e+00,1.0,18.0,--,--,--,203.24051,2.0,204.4907,1.2501979,204.5911,2.849802,207.44272,1.0,207.44283,208.44815,5.2076406,208.4483,211.45003,--
20,20,2,1,2,3,8.500000e-01,1.0,19.0,--,--,--,211.45169,2.0,212.49101,1.0393288,212.59138,2.2106712,214.8034,5.0,214.80353,215.80896,4.3572726,215.80911,218.8106,--
21,21,6,2,3,1,8.500000e-01,1.0,20.0,--,--,--,218.99783,7.0,220.04112,1.0432879,220.14153,2.206712,222.34972,4.0,222.34984,223.35507,4.357235,223.35522,224.35782,--
22,22,4,2,1,2,8.500000e-01,1.0,21.0,--,--,--,224.54555,7.0,225.79033,1.2447838,225.89073,2.0052164,227.898,8.0,227.8981,228.90315,4.3575926,228.90329,230.90561,--
23,23,6,2,3,3,1.700000e+00,1.0,22.0,--,--,--,231.09596,2.0,231.62439,0.5284398,231.72476,3.5715601,235.29883,6.0,235.29895,236.30396,5.2079935,236.3041,239.30537,--
24,24,5,2,2,3,1.700000e+00,1.0,23.0,--,--,--,239.4962,2.0,240.54097,1.0447617,240.64134,3.0552385,243.69846,5.0,243.69858,244.70345,5.2072344,244.70358,247.70479,--
25,25,6,2,3,4,1.700000e+00,1.0,24.0,--,--,--,247.89044,2.0,249.14053,1.2500952,249.24092,2.8499048,252.09297,9.0,252.0931,253.09758,5.2071314,253.09772,257.09894,--
26,26,6,2,3,2,8.500000e-01,1.0,25.0,--,--,--,257.29416,7.0,258.34088,1.0467085,258.44125,2.2032914,260.64758,1.0,260.6477,261.65402,4.3598657,261.65417,263.65613,--
27,27,6,2,3,3,2.550000e+00,1.0,26.0,--,--,--,263.8426,2.0,266.0091,2.1664865,266.10944,2.7835135,268.895,9.0,268.8951,269.90012,6.0574994,269.90024,272.90198,--
28,28,3,1,3,4,1.700000e+00,1.0,27.0,--,--,--,272.90485,2.0,274.55768,1.6528165,274.65808,2.4471836,277.10782,8.0,277.10794,278.11154,5.206692,278.1117,282.11282,--
29,29,3,1,3,3,8.500000e-01,1.0,28.0,--,--,--,282.11453,2.0,283.2576,1.1430724,283.358,2.1069276,285.466,9.0,285.46613,286.47168,4.3571496,286.47183,289.47366,--
30,30,3,1,3,4,2.550000e+00,1.0,29.0,--,--,--,289.47534,7.0,290.72372,1.2483847,290.82407,3.7016153,294.52695,1.0,294.52707,295.53223,6.0568867,295.53238,299.53387,--
